id,composite,subject_area,entity,attribute,type
57541,BASIC,Account Overall,Account,Basic Bank Account Number BBAN,Identifier Num
10587,BASIC,Account Overall,Account,Behavioural Outflow Adjustment Amount,Amount
12925,REFERENCE,Account Overall,Account,Benchmark Rate Reference,Reference
61905,BASIC,Account Overall,Account,Book Code,Identifier Num
55043,COMPOSITE,Account Overall,Account,Book Value Amount,Multi Currency 3
12927,COMPONENT,Account Overall,Account,Book Value Amount.Group Reporting Currency,Amount
12928,COMPONENT,Account Overall,Account,Book Value Amount.Local Reporting Currency,Amount
12929,COMPONENT,Account Overall,Account,Book Value Amount.Transaction Currency,Amount
26041,BASIC,Account Overall,Account,Branch Sub National Sort Code NSC,Identifier Num
51248,REFERENCE,Account Overall,Account,Brand Reference,Reference
20952,BASIC,Account Overall,Account,Business Day Credit Convention Code,Code
21752,BASIC,Account Overall,Account,Business Day Debit Convention Code,Code
12931,BASIC,Account Overall,Account,Cancellable Indicator,Indicator
12930,BASIC,Account Overall,Account,CBI Deposit Interest Rate Type,Code
11216,BASIC,Account Overall,Account,CBoI Market Class Code,Code
13059,BASIC,Account Overall,Account,CBoI Non Retail Product Type,Code
54758,COMPOSITE,Account Overall,Account,Change (Delta) In Credit Interest Accrual Amount,Multi Currency 3
20999,COMPONENT,Account Overall,Account,Change (Delta) In Credit Interest Accrual Amount.Group Reporting Currency,Amount
20998,COMPONENT,Account Overall,Account,Change (Delta) In Credit Interest Accrual Amount.Local Reporting Currency,Amount
20997,COMPONENT,Account Overall,Account,Change (Delta) In Credit Interest Accrual Amount.Transaction Currency,Amount
54540,COMPOSITE,Account Overall,Account,Cleared Balance,Multi Currency 3
12328,COMPONENT,Account Overall,Account,Cleared Balance.Group Reporting Currency,Amount
12334,COMPONENT,Account Overall,Account,Cleared Balance.Local Reporting Currency,Amount
12330,COMPONENT,Account Overall,Account,Cleared Balance.Transaction Currency,Amount
63390,BASIC,Account Overall,Account,Contextual Identifier,Identifier Num
12933,BASIC,Account Overall,Account,Contract Start Date,Date
21011,BASIC,Account Overall,Account,Control Account Indicator,Indicator
55528,COMPOSITE,Account Overall,Account,Cool Off Amount,Multi Currency 3
25306,COMPONENT,Account Overall,Account,Cool Off Amount.Group Reporting Currency,Amount
25307,COMPONENT,Account Overall,Account,Cool Off Amount.Local Reporting Currency,Amount
25308,COMPONENT,Account Overall,Account,Cool Off Amount.Transaction Currency,Amount
25309,BASIC,Account Overall,Account,Cool Off Expiry Date,Date
21100,REFERENCE,Account Overall,Account,Country Of Product Reference,Reference
25378,REFERENCE,Account Overall,Account,Country Reference,Reference
53776,COMPOSITE,Account Overall,Account,Credit Amount Accessible Within 30 Days,Multi Currency 3
12934,COMPONENT,Account Overall,Account,Credit Amount Accessible Within 30 Days.Group Reporting Currency,Amount
12935,COMPONENT,Account Overall,Account,Credit Amount Accessible Within 30 Days.Local Reporting Currency,Amount
12936,COMPONENT,Account Overall,Account,Credit Amount Accessible Within 30 Days.Transaction Currency,Amount
55039,COMPOSITE,Account Overall,Account,Credit Amount Not Accessible Within 30 Days,Multi Currency 3
12937,COMPONENT,Account Overall,Account,Credit Amount Not Accessible Within 30 Days.Group Reporting Currency,Amount
12938,COMPONENT,Account Overall,Account,Credit Amount Not Accessible Within 30 Days.Local Reporting Currency,Amount
12939,COMPONENT,Account Overall,Account,Credit Amount Not Accessible Within 30 Days.Transaction Currency,Amount
12679,BASIC,Account Overall,Account,Credit Day Count Convention Code,Code
54546,COMPOSITE,Account Overall,Account,Credit EIR Adjustment Amount,Multi Currency 3
12940,COMPONENT,Account Overall,Account,Credit EIR Adjustment Amount.Group Reporting Currency,Amount
12941,COMPONENT,Account Overall,Account,Credit EIR Adjustment Amount.Local Reporting Currency,Amount
12942,COMPONENT,Account Overall,Account,Credit EIR Adjustment Amount.Transaction Currency,Amount
12943,BASIC,Account Overall,Account,Credit Grade 13 Code,Code
57188,BASIC,Account Overall,Account,Credit Grade 7 Code,Code
55194,COMPOSITE,Account Overall,Account,Credit Interest Accrual Amount,Multi Currency 3
22272,COMPONENT,Account Overall,Account,Credit Interest Accrual Amount.Group Reporting Currency,Amount
22290,COMPONENT,Account Overall,Account,Credit Interest Accrual Amount.Local Reporting Currency,Amount
22291,COMPONENT,Account Overall,Account,Credit Interest Accrual Amount.Transaction Currency,Amount
54547,COMPOSITE,Account Overall,Account,Credit Interest Accrual Including EIR Adjustment Amount,Multi Currency 3
17229,COMPONENT,Account Overall,Account,Credit Interest Accrual Including EIR Adjustment Amount.Group Reporting Currency,Amount
12949,COMPONENT,Account Overall,Account,Credit Interest Accrual Including EIR Adjustment Amount.Local Reporting Currency,Amount
12950,COMPONENT,Account Overall,Account,Credit Interest Accrual Including EIR Adjustment Amount.Transaction Currency,Amount
13026,BASIC,Account Overall,Account,Credit Interest Calculation Frequency,Time Period
54548,COMPOSITE,Account Overall,Account,Credit Interest Paid Amount,Multi Currency 3
12951,COMPONENT,Account Overall,Account,Credit Interest Paid Amount.Group Reporting Currency,Amount
12952,COMPONENT,Account Overall,Account,Credit Interest Paid Amount.Local Reporting Currency,Amount
12953,COMPONENT,Account Overall,Account,Credit Interest Paid Amount.Transaction Currency,Amount
13028,BASIC,Account Overall,Account,Credit Interest Payment Code,Code
13029,BASIC,Account Overall,Account,Credit Interest Payment Frequency,Time Period
12954,BASIC,Account Overall,Account,Credit Interest Rate,Rate
51660,BASIC,Account Overall,Account,Credit Interest Rate Basic Rate,Rate
21648,BASIC,Account Overall,Account,Credit Interest Rate Benchmark Indicator,Indicator
22292,BASIC,Account Overall,Account,Credit Interest Rate Change Count,Count
51689,BASIC,Account Overall,Account,Credit Interest Rate Permanent Adjustment Rate,Rate
51718,BASIC,Account Overall,Account,Credit Interest Rate Temporary Adjustment Rate,Rate
13031,BASIC,Account Overall,Account,Credit Interest Rate Type,Code
13072,BASIC,Account Overall,Account,Credit Repricing Frequency,Time Period
59017,COMPOSITE,Account Overall,Account,Credit Turnover Excluding Transfers Amount,Multi Currency 3
59135,COMPONENT,Account Overall,Account,Credit Turnover Excluding Transfers Amount.Group Reporting Currency,Amount
59134,COMPONENT,Account Overall,Account,Credit Turnover Excluding Transfers Amount.Local Reporting Currency,Amount
59136,COMPONENT,Account Overall,Account,Credit Turnover Excluding Transfers Amount.Transaction Currency,Amount
59137,COMPOSITE,Account Overall,Account,Credit Turnover Including Transfers Amount,Multi Currency 3
59255,COMPONENT,Account Overall,Account,Credit Turnover Including Transfers Amount.Group Reporting Currency,Amount
59254,COMPONENT,Account Overall,Account,Credit Turnover Including Transfers Amount.Local Reporting Currency,Amount
59256,COMPONENT,Account Overall,Account,Credit Turnover Including Transfers Amount.Transaction Currency,Amount
54858,COMPOSITE,Account Overall,Account,Cumulative Credit Interest Accrual Amount,Multi Currency 3
22293,COMPONENT,Account Overall,Account,Cumulative Credit Interest Accrual Amount.Group Reporting Currency,Amount
22294,COMPONENT,Account Overall,Account,Cumulative Credit Interest Accrual Amount.Local Reporting Currency,Amount
22295,COMPONENT,Account Overall,Account,Cumulative Credit Interest Accrual Amount.Transaction Currency,Amount
12956,BASIC,Account Overall,Account,Current Contract Start Date,Date
12957,BASIC,Account Overall,Account,Current Maturity Date,Date
26180,BASIC,Account Overall,Account,Customer Liquidity Deposit Indicator,Indicator
54859,COMPOSITE,Account Overall,Account,Daily Credit EIR Adjustment Accrual Amount,Multi Currency 3
22296,COMPONENT,Account Overall,Account,Daily Credit EIR Adjustment Accrual Amount.Group Reporting Currency,Amount
22297,COMPONENT,Account Overall,Account,Daily Credit EIR Adjustment Accrual Amount.Local Reporting Currency,Amount
22298,COMPONENT,Account Overall,Account,Daily Credit EIR Adjustment Accrual Amount.Transaction Currency,Amount
54549,COMPOSITE,Account Overall,Account,Daily Credit Interest Accrual Amount,Multi Currency 3
12958,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual Amount.Group Reporting Currency,Amount
12959,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual Amount.Local Reporting Currency,Amount
12960,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual Amount.Transaction Currency,Amount
54550,COMPOSITE,Account Overall,Account,Daily Credit Interest Accrual Including EIR Adjustment Amount,Multi Currency 3
12961,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual Including EIR Adjustment Amount.Group Reporting Currency,Amount
12962,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual Including EIR Adjustment Amount.Local Reporting Currency,Amount
12963,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual Including EIR Adjustment Amount.Transaction Currency,Amount
55042,COMPOSITE,Account Overall,Account,Daily Credit Interest Accrual On Uncleared Items Amount,Multi Currency 3
12964,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual On Uncleared Items Amount.Group Reporting Currency,Amount
12965,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual On Uncleared Items Amount.Local Reporting Currency,Amount
12966,COMPONENT,Account Overall,Account,Daily Credit Interest Accrual On Uncleared Items Amount.Transaction Currency,Amount
55044,COMPOSITE,Account Overall,Account,Daily Margin Accrual Amount,Multi Currency 3
12975,COMPONENT,Account Overall,Account,Daily Margin Accrual Amount.Group Reporting Currency,Amount
12976,COMPONENT,Account Overall,Account,Daily Margin Accrual Amount.Local Reporting Currency,Amount
12977,COMPONENT,Account Overall,Account,Daily Margin Accrual Amount.Transaction Currency,Amount
12978,BASIC,Account Overall,Account,Daily Nominal Change Amount,Amount
12982,BASIC,Account Overall,Account,Days In Credit Count,Count
12983,BASIC,Account Overall,Account,Days In Debit Count,Count
12979,BASIC,Account Overall,Account,Days In Excess Count,Count
25314,BASIC,Account Overall,Account,Days Remaining In Cool Off Count,Time Period
12677,BASIC,Account Overall,Account,Debit Day Count Convention Code,Code
55045,COMPOSITE,Account Overall,Account,Debit EIR Adjustment Amount,Multi Currency 3
12984,COMPONENT,Account Overall,Account,Debit EIR Adjustment Amount.Group Reporting Currency,Amount
12985,COMPONENT,Account Overall,Account,Debit EIR Adjustment Amount.Local Reporting Currency,Amount
12986,COMPONENT,Account Overall,Account,Debit EIR Adjustment Amount.Transaction Currency,Amount
21796,BASIC,Account Overall,Account,Debit Interest Calculation Frequency,Time Period
60496,COMPOSITE,Account Overall,Account,Debit Interest Charged Amount,Multi Currency 3
60614,COMPONENT,Account Overall,Account,Debit Interest Charged Amount.Group Reporting Currency,Amount
60613,COMPONENT,Account Overall,Account,Debit Interest Charged Amount.Local Reporting Currency,Amount
60615,COMPONENT,Account Overall,Account,Debit Interest Charged Amount.Transaction Currency,Amount
21815,BASIC,Account Overall,Account,Debit Interest Payment Code,Code
21838,BASIC,Account Overall,Account,Debit Interest Payment Frequency,Time Period
51568,BASIC,Account Overall,Account,Debit Interest Rate,Rate
51573,BASIC,Account Overall,Account,Debit Interest Rate Basic Rate,Rate
21857,BASIC,Account Overall,Account,Debit Interest Rate Benchmark Indicator,Indicator
51602,BASIC,Account Overall,Account,Debit Interest Rate Permanent Adjustment Rate,Rate
51631,BASIC,Account Overall,Account,Debit Interest Rate Temporary Adjustment Rate,Rate
21881,BASIC,Account Overall,Account,Debit Interest Rate Type,Code
22123,BASIC,Account Overall,Account,Debit Repricing Frequency,Time Period
62045,BASIC,Account Overall,Account,Default Calculation Exclusion Indicator,Indicator
62075,BASIC,Account Overall,Account,Default Calculation Exclusion Reason Code,Code
55120,COMPOSITE,Account Overall,Account,Deposit Volume Retained Amount,Multi Currency 3
18637,COMPONENT,Account Overall,Account,Deposit Volume Retained Amount.Group Reporting Currency,Amount
18638,COMPONENT,Account Overall,Account,Deposit Volume Retained Amount.Local Reporting Currency,Amount
18639,COMPONENT,Account Overall,Account,Deposit Volume Retained Amount.Transaction Currency,Amount
54551,COMPOSITE,Account Overall,Account,Deposits Funds At Risk Amount,Multi Currency 3
12996,COMPONENT,Account Overall,Account,Deposits Funds At Risk Amount.Group Reporting Currency,Amount
12997,COMPONENT,Account Overall,Account,Deposits Funds At Risk Amount.Local Reporting Currency,Amount
12998,COMPONENT,Account Overall,Account,Deposits Funds At Risk Amount.Transaction Currency,Amount
54552,COMPOSITE,Account Overall,Account,Deposits Funds At Risk Over 30 Days Amount,Multi Currency 3
12999,COMPONENT,Account Overall,Account,Deposits Funds At Risk Over 30 Days Amount.Group Reporting Currency,Amount
22569,COMPONENT,Account Overall,Account,Deposits Funds At Risk Over 30 Days Amount.Local Reporting Currency,Amount
13000,COMPONENT,Account Overall,Account,Deposits Funds At Risk Over 30 Days Amount.Transaction Currency,Amount
54553,COMPOSITE,Account Overall,Account,Deposits Funds At Risk Within 30 Days Amount,Multi Currency 3
13001,COMPONENT,Account Overall,Account,Deposits Funds At Risk Within 30 Days Amount.Group Reporting Currency,Amount
13002,COMPONENT,Account Overall,Account,Deposits Funds At Risk Within 30 Days Amount.Local Reporting Currency,Amount
13003,COMPONENT,Account Overall,Account,Deposits Funds At Risk Within 30 Days Amount.Transaction Currency,Amount
33046,BASIC,Account Overall,Account,DGS Straight Through Processing STP Indicator,Indicator
55121,COMPOSITE,Account Overall,Account,Fair Value Adjustment Amount,Multi Currency 3
18640,COMPONENT,Account Overall,Account,Fair Value Adjustment Amount.Group Reporting Currency,Amount
18641,COMPONENT,Account Overall,Account,Fair Value Adjustment Amount.Local Reporting Currency,Amount
18642,COMPONENT,Account Overall,Account,Fair Value Adjustment Amount.Transaction Currency,Amount
12608,REFERENCE,Account Overall,Account,Fee Category Reference,Reference
13007,BASIC,Account Overall,Account,First Cancelation Date,Date
13008,BASIC,Account Overall,Account,First Repricing Date,Date
12359,BASIC,Account Overall,Account,First Time Buyer Indicator,Indicator
13009,BASIC,Account Overall,Account,First Transaction Date,Date
58097,BASIC,Account Overall,Account,Foreign Exchange Position Type Code,Code
61935,BASIC,Account Overall,Account,Fraud Investigation Status Code,Code
13010,BASIC,Account Overall,Account,Funds At Risk Indicator,Indicator
56602,COMPOSITE,Account Overall,Account,Future Behavioural Cash Flow Amount,Multi Currency 3
18434,COMPONENT,Account Overall,Account,Future Behavioural Cash Flow Amount.Group Reporting Currency,Amount
18433,COMPONENT,Account Overall,Account,Future Behavioural Cash Flow Amount.Local Reporting Currency,Amount
18435,COMPONENT,Account Overall,Account,Future Behavioural Cash Flow Amount.Transaction Currency,Amount
22299,BASIC,Account Overall,Account,Gross Account Pay Rate,Rate
22300,BASIC,Account Overall,Account,Gross Customer Current Premium Pay Rate,Rate
55122,COMPOSITE,Account Overall,Account,Gross Inflow Amount,Multi Currency 3
18645,COMPONENT,Account Overall,Account,Gross Inflow Amount.Group Reporting Currency,Amount
18643,COMPONENT,Account Overall,Account,Gross Inflow Amount.Local Reporting Currency,Amount
18644,COMPONENT,Account Overall,Account,Gross Inflow Amount.Transaction Currency,Amount
55123,COMPOSITE,Account Overall,Account,Gross Loan Balance,Multi Currency 3
18648,COMPONENT,Account Overall,Account,Gross Loan Balance.Group Reporting Currency,Amount
18647,COMPONENT,Account Overall,Account,Gross Loan Balance.Local Reporting Currency,Amount
18646,COMPONENT,Account Overall,Account,Gross Loan Balance.Transaction Currency,Amount
55124,COMPOSITE,Account Overall,Account,Gross Outflow Amount,Multi Currency 3
18650,COMPONENT,Account Overall,Account,Gross Outflow Amount.Group Reporting Currency,Amount
18651,COMPONENT,Account Overall,Account,Gross Outflow Amount.Local Reporting Currency,Amount
18649,COMPONENT,Account Overall,Account,Gross Outflow Amount.Transaction Currency,Amount
60029,BASIC,Account Overall,Account,Highest Priority UTP Category Code,Code
61250,BASIC,Account Overall,Account,Highest Priority UTP Category Date,Date
11219,BASIC,Account Overall,Account,IFRS Classification Code,Code
13021,BASIC,Account Overall,Account,Incentive Expiry Date,Date
53775,COMPOSITE,Account Overall,Account,Initial Account Balance,Multi Currency 3
13022,COMPONENT,Account Overall,Account,Initial Account Balance.Group Reporting Currency,Amount
13023,COMPONENT,Account Overall,Account,Initial Account Balance.Local Reporting Currency,Amount
13024,COMPONENT,Account Overall,Account,Initial Account Balance.Transaction Currency,Amount
22301,BASIC,Account Overall,Account,Initial Credit Interest Rate,Rate
51880,BASIC,Account Overall,Account,Interbank Indicator,Indicator
21006,REFERENCE,Account Overall,Account,Intercompany Company Code Unit Reference,Reference
12660,BASIC,Account Overall,Account,Intercompany Indicator,Indicator
13027,BASIC,Account Overall,Account,Interest Margin Rate,Rate
56603,COMPOSITE,Account Overall,Account,Interim Result Interest Margin Amount,Multi Currency 3
18446,COMPONENT,Account Overall,Account,Interim Result Interest Margin Amount.Group Reporting Currency,Amount
18445,COMPONENT,Account Overall,Account,Interim Result Interest Margin Amount.Local Reporting Currency,Amount
18447,COMPONENT,Account Overall,Account,Interim Result Interest Margin Amount.Transaction Currency,Amount
55127,COMPOSITE,Account Overall,Account,Interim Result Rollover Credit Interest Rate Amount,Multi Currency 3
18662,COMPONENT,Account Overall,Account,Interim Result Rollover Credit Interest Rate Amount.Group Reporting Currency,Amount
18663,COMPONENT,Account Overall,Account,Interim Result Rollover Credit Interest Rate Amount.Local Reporting Currency,Amount
18661,COMPONENT,Account Overall,Account,Interim Result Rollover Credit Interest Rate Amount.Transaction Currency,Amount
55048,COMPOSITE,Account Overall,Account,Interim Result Rollover Debit Interest Rate Amount,Multi Currency 3
21917,COMPONENT,Account Overall,Account,Interim Result Rollover Debit Interest Rate Amount.Group Reporting Currency,Amount
21935,COMPONENT,Account Overall,Account,Interim Result Rollover Debit Interest Rate Amount.Local Reporting Currency,Amount
21953,COMPONENT,Account Overall,Account,Interim Result Rollover Debit Interest Rate Amount.Transaction Currency,Amount
33031,BASIC,Account Overall,Account,International Bank Account Number IBAN,Identifier Num
12648,BASIC,Account Overall,Account,Issue Identification Number,Identifier Num
13034,BASIC,Account Overall,Account,Joint Account Indicator,Indicator
10646,BASIC,Account Overall,Account,LCR Average Transactions Value Percentage,Percentage
10647,BASIC,Account Overall,Account,LCR Average Weekly Transaction Count,Count
55128,COMPOSITE,Account Overall,Account,LCR Cash Outflow Amount,Multi Currency 3
18666,COMPONENT,Account Overall,Account,LCR Cash Outflow Amount.Group Reporting Currency,Amount
18664,COMPONENT,Account Overall,Account,LCR Cash Outflow Amount.Local Reporting Currency,Amount
18665,COMPONENT,Account Overall,Account,LCR Cash Outflow Amount.Transaction Currency,Amount
13036,BASIC,Account Overall,Account,LCR Eligible Indicator,Indicator
13038,BASIC,Account Overall,Account,LCR Transactional Status Indicator,Indicator
55181,COMPOSITE,Account Overall,Account,Ledger Balance,Multi Currency 3
13039,COMPONENT,Account Overall,Account,Ledger Balance.Group Reporting Currency,Amount
13040,COMPONENT,Account Overall,Account,Ledger Balance.Local Reporting Currency,Amount
13041,COMPONENT,Account Overall,Account,Ledger Balance.Transaction Currency,Amount
13042,BASIC,Account Overall,Account,Ledger Section Code,Code
55135,COMPOSITE,Account Overall,Account,Liquid Asset Amount,Multi Currency 3
18582,COMPONENT,Account Overall,Account,Liquid Asset Amount.Group Reporting Currency,Amount
18580,COMPONENT,Account Overall,Account,Liquid Asset Amount.Local Reporting Currency,Amount
18581,COMPONENT,Account Overall,Account,Liquid Asset Amount.Transaction Currency,Amount
25518,BASIC,Account Overall,Account,Liquidity Account Status Indicator,Indicator
13046,BASIC,Account Overall,Account,Liquidity Category Code,Code
61468,BASIC,Account Overall,Account,Liquidity Type Code,Code
26068,BASIC,Account Overall,Account,LOC Lending Officer Code,Identifier Num
54543,COMPOSITE,Account Overall,Account,Maximum Cleared Balance Amount,Multi Currency 3
12357,COMPONENT,Account Overall,Account,Maximum Cleared Balance Amount.Group Reporting Currency,Amount
12356,COMPONENT,Account Overall,Account,Maximum Cleared Balance Amount.Local Reporting Currency,Amount
12355,COMPONENT,Account Overall,Account,Maximum Cleared Balance Amount.Transaction Currency,Amount
54934,COMPOSITE,Account Overall,Account,Maximum Deposit Balance,Multi Currency 3
25065,COMPONENT,Account Overall,Account,Maximum Deposit Balance.Group Reporting Currency,Amount
25084,COMPONENT,Account Overall,Account,Maximum Deposit Balance.Local Reporting Currency,Amount
25102,COMPONENT,Account Overall,Account,Maximum Deposit Balance.Transaction Currency,Amount
56611,COMPOSITE,Account Overall,Account,Maximum Ledger Balance,Multi Currency 3
18675,COMPONENT,Account Overall,Account,Maximum Ledger Balance.Group Reporting Currency,Amount
18673,COMPONENT,Account Overall,Account,Maximum Ledger Balance.Local Reporting Currency,Amount
18674,COMPONENT,Account Overall,Account,Maximum Ledger Balance.Transaction Currency,Amount
54542,COMPOSITE,Account Overall,Account,Minimum Cleared Balance Amount,Multi Currency 3
12352,COMPONENT,Account Overall,Account,Minimum Cleared Balance Amount.Group Reporting Currency,Amount
12353,COMPONENT,Account Overall,Account,Minimum Cleared Balance Amount.Local Reporting Currency,Amount
12354,COMPONENT,Account Overall,Account,Minimum Cleared Balance Amount.Transaction Currency,Amount
55156,COMPOSITE,Account Overall,Account,Minimum Deposit Balance,Multi Currency 3
25120,COMPONENT,Account Overall,Account,Minimum Deposit Balance.Group Reporting Currency,Amount
25139,COMPONENT,Account Overall,Account,Minimum Deposit Balance.Local Reporting Currency,Amount
25157,COMPONENT,Account Overall,Account,Minimum Deposit Balance.Transaction Currency,Amount
56612,COMPOSITE,Account Overall,Account,Minimum Ledger Balance,Multi Currency 3
18676,COMPONENT,Account Overall,Account,Minimum Ledger Balance.Group Reporting Currency,Amount
18677,COMPONENT,Account Overall,Account,Minimum Ledger Balance.Local Reporting Currency,Amount
18678,COMPONENT,Account Overall,Account,Minimum Ledger Balance.Transaction Currency,Amount
10659,BASIC,Account Overall,Account,Monthly Customer Initiated Transactions Count,Count
13050,BASIC,Account Overall,Account,Most Recent Credit Interest Capitalised Date,Date
13051,BASIC,Account Overall,Account,Most Recent Credit Interest Payment Date,Date
21986,BASIC,Account Overall,Account,Most Recent Credit Rate Change Date,Date
13052,BASIC,Account Overall,Account,Most Recent Credit Rollover Date,Date
22005,BASIC,Account Overall,Account,Most Recent Debit Interest Capitalised Date,Date
22024,BASIC,Account Overall,Account,Most Recent Debit Interest Payment Date,Date
12657,BASIC,Account Overall,Account,Most Recent Debit Rate Change Date,Date
22080,BASIC,Account Overall,Account,Most Recent Debit Rollover Date,Date
13053,BASIC,Account Overall,Account,Most Recent Transaction Value Date,Date
62995,BASIC,Account Overall,Account,NACE Class Market Class Code,Code
11224,BASIC,Account Overall,Account,NACE Section Market Class Code,Code
13054,BASIC,Account Overall,Account,Narrowly Defined Effective Rate,Rate
10664,BASIC,Account Overall,Account,Net Interest Margin Percentage,Percentage
63682,BASIC,Account Overall,Account,Netting Potential Indicator,Indicator
13055,BASIC,Account Overall,Account,Next Credit Interest Payment Date,Date
22302,BASIC,Account Overall,Account,Next Credit Repricing Date,Date
22043,BASIC,Account Overall,Account,Next Debit Interest Payment Date,Date
22099,BASIC,Account Overall,Account,Next Debit Repricing Date,Date
25583,BASIC,Account Overall,Account,Non Accessible Matured Amount,Amount
25686,BASIC,Account Overall,Account,Non Accessible New Funding Amount,Amount
25754,BASIC,Account Overall,Account,Non Accessible Original Maturity Day Count,Count
25770,BASIC,Account Overall,Account,Non Accessible Original Maturity Month Count,Count
25635,BASIC,Account Overall,Account,Non Accessible Rolled Over Amount,Amount
55082,COMPOSITE,Account Overall,Account,Non Operational Outflow Amount,Multi Currency 3
18681,COMPONENT,Account Overall,Account,Non Operational Outflow Amount.Group Reporting Currency,Amount
18679,COMPONENT,Account Overall,Account,Non Operational Outflow Amount.Local Reporting Currency,Amount
18680,COMPONENT,Account Overall,Account,Non Operational Outflow Amount.Transaction Currency,Amount
13060,BASIC,Account Overall,Account,Offset Indicator,Indicator
22061,BASIC,Account Overall,Account,Offset Interest Rate,Rate
55062,COMPOSITE,Account Overall,Account,Operational Outflow Amount,Multi Currency 3
13063,COMPONENT,Account Overall,Account,Operational Outflow Amount.Group Reporting Currency,Amount
13064,COMPONENT,Account Overall,Account,Operational Outflow Amount.Local Reporting Currency,Amount
13065,COMPONENT,Account Overall,Account,Operational Outflow Amount.Transaction Currency,Amount
13068,BASIC,Account Overall,Account,Original Contract Start Date,Date
57640,BASIC,Account Overall,Account,Originating Branch Sub National Sort Code NSC,Identifier Num
60616,REFERENCE,Account Overall,Account,Originating Employment Position Reference,Reference
57611,BASIC,Account Overall,Account,Originating Parent National Sort Code NSC Number,Identifier Num
26012,REFERENCE,Account Overall,Account,Originating Product Application Reference,Reference
61624,BASIC,Account Overall,Account,Originating Relationship Manager Job Title Code,Code
57396,BASIC,Account Overall,Account,Other Source System Code,Code
